generation,strategy,nAgents,nInnovate,nObserve,nExploit,nRefine,totalPayoffs,avgLifespan,stdLifespan,medLifespan,maxLifespan
0,estagent,53,0,53,0,0,0,1.0,0.0,1.0,1
0,exagent,47,47,0,0,0,0,1.0,0.0,1.0,1
1,estagent,53,53,0,0,0,0,2.0,0.0,2.0,2
1,exagent,47,0,0,47,0,242.0,2.0,0.0,2.0,2
2,estagent,52,0,52,0,0,0,3.0,0.0,3.0,3
2,exagent,48,2,0,46,0,235.0,2.91666666667,0.399652626943,3.0,3
3,estagent,51,0,51,0,0,0,4.0,0.0,4.0,4
3,exagent,49,2,1,46,0,214.0,3.79591836735,0.699258844858,4.0,4
4,estagent,51,0,51,0,0,0,5.0,0.0,5.0,5
4,exagent,49,0,1,48,0,259.0,4.79591836735,0.699258844858,5.0,5
5,estagent,49,0,49,0,0,0,6.0,0.0,6.0,6
5,exagent,51,2,0,49,0,320.0,5.60784313725,1.15603160572,6.0,6
6,estagent,49,0,49,0,0,0,7.0,0.0,7.0,7
6,exagent,51,0,0,51,0,309.0,6.60784313725,1.15603160572,7.0,7
